relevance,word_in_title,word_in_description,word_in_attribute,len_of_query,len_of_attributes,brandname,nrBullets,search_term_nrNumbers,product_title_nrNumbers,product_description_nrNumbers,attributes_nrNumbers,product_title_measurements_nrMeasurementMatch,product_description_measurements_nrMeasurementMatch,attributes_measurements_nrMeasurementMatch
2.33,2,2,2,3,62,1.0,5,0,1,7,9,0,0,0
2.0,0,1,0,2,89,1.0,8,0,2,5,11,0,0,0
2.33,0,1,1,2,89,1.0,8,0,2,5,11,0,0,0
2.67,1,2,2,3,326,1.0,16,0,1,1,22,0,0,0
2.0,4,4,3,5,326,1.0,16,1,1,1,22,0,0,0
2.33,3,3,3,5,326,1.0,16,0,1,1,22,0,0,0
3.0,1,1,1,6,51,1.0,6,0,1,1,6,0,0,0
2.0,1,2,1,3,51,1.0,6,0,1,1,6,0,0,0
2.0,1,2,1,3,51,1.0,6,0,1,1,6,0,0,0
2.0,1,1,1,3,102,1.0,6,0,2,8,12,0,0,0
2.33,1,1,1,3,102,1.0,6,0,2,8,12,0,0,0
2.33,0,1,1,2,48,1.0,6,0,2,2,3,0,0,0
2.0,2,2,1,4,61,1.0,4,0,2,3,7,0,0,0
2.67,0,2,1,3,61,1.0,4,0,2,3,7,0,0,0
1.67,0,0,0,1,61,1.0,4,0,2,3,7,0,0,0
2.33,0,2,1,3,61,1.0,4,0,2,3,7,0,0,0
1.67,0,2,1,2,61,1.0,4,0,2,3,7,0,0,0
3.0,1,2,0,2,103,1.0,6,0,0,1,2,0,0,0
1.67,2,0,0,3,64,1.0,7,3,2,4,5,0,0,0
3.0,2,2,1,2,64,1.0,7,0,2,4,5,0,0,0
1.67,1,1,0,2,64,1.0,7,0,2,4,5,0,0,0
3.0,1,2,2,3,88,1.0,7,1,3,4,6,0,0,0
3.0,3,3,1,3,88,1.0,7,0,3,4,6,0,0,0
1.0,1,2,1,3,88,1.0,7,0,3,4,6,0,0,0
3.0,1,4,1,4,88,1.0,7,0,3,4,6,0,0,0
2.67,0,1,0,2,88,1.0,7,0,3,4,6,0,0,0
2.67,0,1,1,3,88,1.0,7,0,3,4,6,0,0,0
3.0,1,1,1,2,88,1.0,7,0,3,4,6,0,0,0
2.67,1,2,2,2,88,1.0,7,0,3,4,6,0,0,0
3.0,1,2,2,2,88,1.0,7,0,3,4,6,0,0,0
1.0,0,0,0,2,37,1.0,4,0,0,0,5,0,0,0
2.33,2,2,2,3,62,1.0,4,1,1,1,6,0,0,0
2.33,6,6,5,7,62,1.0,4,2,1,1,6,1,1,0
3.0,2,2,2,4,62,1.0,4,1,1,1,6,0,0,0
2.33,1,1,1,2,62,1.0,4,0,1,1,6,0,0,0
2.5,1,2,1,3,47,1.0,6,0,0,2,9,0,0,0
2.33,1,3,1,5,108,1.0,7,0,1,3,13,0,0,0
3.0,2,2,1,2,108,1.0,7,0,1,3,13,0,0,0
2.33,1,1,0,2,129,1.0,7,0,0,0,11,0,0,0
2.33,1,2,2,3,129,1.0,7,0,0,0,11,0,0,0
2.33,1,2,1,3,129,1.0,7,0,0,0,11,0,0,0
3.0,2,2,1,3,129,1.0,7,0,0,0,11,0,0,0
3.0,4,2,0,5,125,1.0,9,0,2,5,12,0,0,0
2.33,4,4,2,5,125,1.0,9,1,2,5,12,0,0,0
2.33,1,1,0,1,76,1.0,6,0,0,1,11,0,0,0
2.0,1,1,1,2,95,1.0,7,1,1,7,12,0,0,0
2.0,1,1,1,3,95,1.0,7,0,1,7,12,0,0,0
2.33,2,2,2,4,95,1.0,7,0,1,7,12,0,0,0
2.67,1,1,1,1,95,1.0,7,0,1,7,12,0,0,0
1.67,2,4,4,5,95,1.0,7,1,1,7,12,1,1,0
3.0,4,2,2,5,33,1.0,4,2,3,2,9,0,0,0
2.33,2,2,0,2,33,1.0,4,0,3,2,9,0,0,0
3.0,2,2,0,2,33,1.0,4,0,3,2,9,0,0,0
2.0,2,3,2,3,97,1.0,6,0,2,2,5,0,0,0
2.67,1,2,1,2,101,1.0,7,0,0,1,7,0,0,0
3.0,1,1,1,2,104,1.0,7,0,0,1,7,0,0,0
3.0,3,3,0,3,104,1.0,7,0,0,1,7,0,0,0
2.33,0,0,0,1,104,1.0,7,0,0,1,7,0,0,0
3.0,0,0,0,1,44,1.0,6,0,3,4,8,0,0,0
3.0,2,1,1,2,197,1.0,10,0,3,1,14,0,0,0
3.0,3,2,2,3,197,1.0,10,0,3,1,14,0,0,0
2.67,2,2,1,2,197,1.0,10,0,3,1,14,0,0,0
2.33,3,2,1,4,109,1.0,6,0,0,1,7,0,0,0
3.0,2,2,1,3,109,1.0,6,0,0,1,7,0,0,0
2.0,2,2,1,4,109,1.0,6,0,0,1,7,0,0,0
2.67,2,2,1,2,109,1.0,6,0,0,1,7,0,0,0
2.0,3,3,2,3,109,1.0,6,0,0,1,7,0,0,0
1.33,0,0,0,2,61,1.0,11,0,1,0,5,0,0,0
2.33,3,4,2,4,103,1.0,6,1,2,6,13,0,0,0
2.33,1,2,1,2,103,1.0,6,0,2,6,13,0,0,0
2.0,2,2,0,3,103,1.0,6,0,2,6,13,0,0,0
1.33,2,2,2,2,103,1.0,6,1,2,6,13,0,0,0
3.0,1,1,1,2,103,1.0,6,0,2,6,13,0,0,0
3.0,1,0,0,2,51,1.0,5,0,0,3,12,0,0,0
2.33,0,2,3,6,51,1.0,5,0,0,3,12,0,0,0
3.0,1,1,1,2,51,1.0,5,0,0,3,12,0,0,0
2.67,1,2,1,2,43,1.0,4,0,1,0,9,0,0,0
2.33,1,1,1,2,80,1.0,5,0,4,0,3,0,0,0
3.0,1,2,2,2,80,1.0,5,0,4,0,3,0,0,0
2.33,1,1,1,1,80,1.0,5,0,4,0,3,0,0,0
2.0,2,1,0,2,35,1.0,4,0,1,1,8,0,0,0
2.67,1,1,0,2,35,1.0,4,0,1,1,8,0,0,0
2.67,1,1,0,3,35,1.0,4,0,1,1,8,0,0,0
2.67,0,0,0,2,115,1.0,10,0,2,4,11,0,0,0
2.33,1,2,3,4,108,1.0,8,1,0,3,12,0,0,0
1.33,0,0,1,3,108,1.0,8,1,0,3,12,0,0,0
2.0,2,2,1,3,108,1.0,8,0,0,3,12,0,0,0
2.33,4,4,2,4,108,1.0,8,0,0,3,12,0,0,0
2.0,5,5,3,7,108,1.0,8,0,0,3,12,0,0,0
2.67,2,4,2,5,108,1.0,8,0,0,3,12,0,0,0
2.67,1,1,1,2,108,1.0,8,0,0,3,12,0,0,0
2.33,1,1,1,2,108,1.0,8,0,0,3,12,0,0,0
2.33,1,1,1,3,108,1.0,8,0,0,3,12,0,0,0
1.33,1,1,1,4,108,1.0,8,0,0,3,12,0,0,0
2.33,1,2,2,2,108,1.0,8,0,0,3,12,0,0,0
2.67,2,2,2,3,108,1.0,8,0,0,3,12,0,0,0
3.0,3,3,1,3,108,1.0,8,0,0,3,12,0,0,0
2.33,3,3,4,5,203,1.0,12,1,2,4,14,0,0,0
2.0,2,2,2,3,203,1.0,12,0,2,4,14,0,0,0
1.67,2,2,2,2,203,1.0,12,0,2,4,14,0,0,0
2.67,2,4,4,4,203,1.0,12,0,2,4,14,0,0,0
3.0,3,4,4,4,203,1.0,12,0,2,4,14,0,0,0
2.67,4,4,3,5,203,1.0,12,0,2,4,14,0,0,0
3.0,4,4,3,4,203,1.0,12,0,2,4,14,0,0,0
2.33,3,3,2,4,203,1.0,12,0,2,4,14,0,0,0
3.0,2,2,2,3,203,1.0,12,0,2,4,14,0,0,0
3.0,2,2,2,3,203,1.0,12,0,2,4,14,0,0,0
1.67,2,2,2,3,203,1.0,12,0,2,4,14,0,0,0
3.0,2,2,0,2,65,1.0,5,0,0,4,13,0,0,0
3.0,3,3,0,3,34,1.0,4,0,1,2,7,0,0,0
3.0,3,3,1,3,34,1.0,4,0,1,2,7,0,0,0
2.33,3,4,1,5,34,1.0,4,0,1,2,7,0,0,0
3.0,1,1,1,2,34,1.0,4,0,1,2,7,0,0,0
2.33,1,1,1,2,172,1.0,11,0,0,3,10,0,0,0
3.0,1,2,2,2,172,1.0,11,0,0,3,10,0,0,0
3.0,3,3,2,3,172,1.0,11,0,0,3,10,0,0,0
1.33,2,2,2,3,172,1.0,11,0,0,3,10,0,0,0
1.67,3,2,1,4,17,1.0,4,1,2,0,3,0,0,0
3.0,2,1,0,2,17,1.0,4,0,2,0,3,0,0,0
3.0,0,0,0,1,122,1.0,7,0,2,2,6,0,0,0
3.0,2,2,1,3,52,1.0,7,0,2,4,11,0,0,0
1.67,1,3,2,6,78,1.0,7,2,1,6,8,0,0,0
3.0,1,2,1,3,78,1.0,7,0,1,6,8,0,0,0
2.67,2,2,2,3,176,1.0,8,0,3,0,7,0,0,0
1.67,1,1,1,2,241,1.0,11,1,1,7,25,0,0,0
2.33,4,2,3,9,109,1.0,8,2,3,1,15,0,0,0
2.33,1,1,1,3,109,1.0,8,0,3,1,15,0,0,0
3.0,2,2,0,2,49,1.0,4,0,0,1,11,0,0,0
1.33,0,0,0,2,50,1.0,4,0,0,3,6,0,0,0
2.0,2,2,1,3,122,1.0,9,0,1,3,5,0,0,0
3.0,1,1,0,2,122,1.0,9,0,1,3,5,0,0,0
2.0,1,2,2,3,100,1.0,8,0,0,6,13,0,0,0
2.0,3,0,2,4,124,1.0,8,2,5,5,17,0,0,0
3.0,1,1,0,1,54,1.0,5,0,0,3,7,0,0,0
3.0,1,2,2,3,232,1.0,13,0,0,10,29,0,0,0
3.0,2,2,2,3,232,1.0,13,0,0,10,29,0,0,0
2.67,0,2,2,3,232,1.0,13,0,0,10,29,0,0,0
2.33,0,2,2,3,232,1.0,13,0,0,10,29,0,0,0
2.33,3,3,3,3,232,1.0,13,0,0,10,29,0,0,0
2.67,2,3,3,4,232,1.0,13,0,0,10,29,0,0,0
2.33,1,2,2,3,63,1.0,8,0,0,1,7,0,0,0
1.67,1,2,2,2,63,1.0,8,0,0,1,7,0,0,0
2.67,1,3,2,3,63,1.0,8,0,0,1,7,0,0,0
2.67,0,0,0,1,63,1.0,8,0,0,1,7,0,0,0
2.67,2,2,0,2,63,1.0,8,0,0,1,7,0,0,0
3.0,3,3,2,3,123,1.0,8,0,1,10,13,0,0,0
3.0,3,3,2,4,123,1.0,8,0,1,10,13,0,0,0
2.67,3,3,3,4,123,1.0,8,0,1,10,13,0,0,0
3.0,3,3,3,3,123,1.0,8,0,1,10,13,0,0,0
3.0,2,2,2,3,405,1.0,17,1,1,8,30,0,0,0
2.33,1,1,0,3,405,1.0,17,0,1,8,30,0,0,0
1.33,3,3,2,4,405,1.0,17,0,1,8,30,0,0,0
2.0,1,1,0,2,278,1.0,13,0,1,4,19,0,0,0
3.0,3,3,2,3,278,1.0,13,0,1,4,19,0,0,0
2.0,1,2,2,4,85,1.0,6,0,3,4,5,0,0,0
2.67,1,1,0,3,85,1.0,6,0,3,4,5,0,0,0
2.67,1,2,1,2,85,1.0,6,0,3,4,5,0,0,0
2.33,4,5,1,6,124,1.0,9,0,0,0,11,0,0,0
1.33,3,3,3,5,84,1.0,8,0,1,2,5,0,0,0
3.0,2,2,2,2,71,1.0,8,0,1,2,5,0,0,0
1.67,2,1,1,4,50,1.0,5,0,3,0,9,0,0,0
3.0,2,2,1,2,50,1.0,5,0,3,0,9,0,0,0
2.67,3,4,3,5,124,1.0,9,1,0,2,8,0,0,0
2.0,2,1,1,3,124,1.0,9,1,0,2,8,0,0,0
1.67,2,2,2,4,125,1.0,8,1,0,1,6,0,0,0
2.33,5,4,3,5,125,1.0,8,0,0,1,6,0,0,0
3.0,1,1,1,1,125,1.0,8,0,0,1,6,0,0,0
2.67,2,2,0,3,109,1.0,6,0,0,2,9,0,0,0
2.67,2,2,1,3,109,1.0,6,1,0,2,9,0,0,0
2.33,3,4,1,6,109,1.0,6,0,0,2,9,0,0,0
1.25,0,0,0,1,93,1.0,6,0,2,3,13,0,0,0
2.33,0,0,0,1,52,1.0,4,0,0,3,9,0,0,0
2.33,3,3,1,4,67,1.0,8,0,1,6,7,0,0,0
2.67,2,2,0,2,67,1.0,8,0,1,6,7,0,0,0
2.67,3,3,0,3,67,1.0,8,0,1,6,7,0,0,0
2.67,1,2,0,2,67,1.0,8,0,1,6,7,0,0,0
2.0,1,2,0,2,67,1.0,8,0,1,6,7,0,0,0
3.0,2,2,1,3,57,1.0,5,0,0,5,8,0,0,0
1.67,2,2,1,3,57,1.0,5,0,0,5,8,0,0,0
2.0,2,4,1,4,87,1.0,10,0,0,1,5,0,0,0
2.67,0,2,0,3,75,1.0,4,0,0,4,8,0,0,0
3.0,2,2,0,2,45,1.0,6,0,0,0,6,0,0,0
3.0,5,6,3,7,80,1.0,7,0,0,0,7,0,0,0
2.0,1,2,0,2,80,1.0,7,0,0,0,7,0,0,0
3.0,2,3,2,4,282,1.0,13,1,0,8,25,0,0,0
3.0,2,2,1,3,282,1.0,13,0,0,8,25,0,0,0
2.0,1,1,1,2,67,1.0,4,0,0,0,11,0,0,0
2.67,1,1,1,2,90,1.0,5,0,0,8,14,0,0,0
2.67,4,3,3,4,66,1.0,6,1,1,6,7,0,0,0
1.0,1,1,1,3,66,1.0,6,0,1,6,7,0,0,0
3.0,1,1,1,2,98,1.0,11,0,0,1,9,0,0,0
3.0,3,3,1,3,81,1.0,7,0,0,3,7,0,0,0
2.33,3,3,0,3,81,1.0,7,0,0,3,7,0,0,0
3.0,2,3,0,3,81,1.0,7,0,0,3,7,0,0,0
2.33,2,2,0,4,81,1.0,7,0,0,3,7,0,0,0
2.67,3,3,1,3,86,1.0,5,0,0,3,11,0,0,0
2.33,2,2,0,2,27,1.0,4,0,1,4,6,0,0,0
1.0,0,0,0,3,89,1.0,8,0,1,3,5,0,0,0
3.0,0,0,0,1,89,1.0,8,0,1,3,5,0,0,0
2.67,1,2,2,2,89,1.0,8,0,1,3,5,0,0,0
2.67,1,1,1,2,89,1.0,8,0,1,3,5,0,0,0
1.0,1,2,2,2,136,1.0,7,0,0,2,7,0,0,0
3.0,1,1,1,1,136,1.0,7,0,0,2,7,0,0,0
3.0,1,1,1,2,53,1.0,5,0,0,0,3,0,0,0
1.67,2,3,3,3,21,1.0,4,1,0,1,3,0,0,0
1.67,0,1,1,2,21,1.0,4,0,0,1,3,0,0,0
2.0,1,2,1,3,21,1.0,4,0,0,1,3,0,0,0
1.67,0,0,0,2,21,1.0,4,0,0,1,3,0,0,0
3.0,1,1,0,1,67,1.0,6,0,1,3,9,0,0,0
2.33,1,1,1,2,91,1.0,6,0,2,0,9,0,0,0
3.0,0,0,1,2,91,1.0,6,0,2,0,9,0,0,0
3.0,0,1,2,2,91,1.0,6,0,2,0,9,0,0,0
2.67,2,3,3,4,45,1.0,4,0,2,2,5,0,0,0
1.0,0,0,0,2,45,1.0,4,0,2,2,5,0,0,0
1.67,0,1,1,2,45,1.0,4,0,2,2,5,0,0,0
2.33,1,1,2,4,45,1.0,4,0,2,2,5,0,0,0
1.33,0,0,0,5,45,1.0,4,0,2,2,5,0,0,0
2.0,2,2,2,4,113,1.0,6,0,1,3,13,0,0,0
3.0,3,3,3,3,108,1.0,10,1,1,5,12,0,0,0
3.0,2,2,2,3,108,1.0,10,0,1,5,12,0,0,0
1.67,1,1,0,2,108,1.0,10,0,1,5,12,0,0,0
1.67,2,2,1,3,108,1.0,10,0,1,5,12,0,0,0
3.0,2,2,1,2,108,1.0,10,0,1,5,12,0,0,0
1.67,1,1,1,3,108,1.0,10,0,1,5,12,0,0,0
2.33,0,1,1,3,220,1.0,13,0,1,8,25,0,0,0
3.0,0,0,0,1,220,1.0,13,0,1,8,25,0,0,0
2.0,0,0,0,1,51,1.0,5,0,1,4,3,0,0,0
2.67,1,1,0,1,51,1.0,5,0,1,4,3,0,0,0
1.67,1,1,0,2,51,1.0,5,0,1,4,3,0,0,0
3.0,2,2,1,2,51,1.0,5,0,1,4,3,0,0,0
3.0,2,1,0,2,51,1.0,5,0,1,4,3,0,0,0
2.33,3,3,0,4,161,1.0,8,1,1,3,17,0,0,0
3.0,3,3,0,3,161,1.0,8,0,1,3,17,0,0,0
3.0,2,2,0,2,161,1.0,8,0,1,3,17,0,0,0
3.0,3,3,0,4,161,1.0,8,0,1,3,17,0,0,0
2.75,2,3,3,3,74,1.0,5,0,0,2,8,0,0,0
2.0,1,2,2,3,74,1.0,5,0,0,2,8,0,0,0
2.0,1,1,1,3,53,1.0,5,0,1,1,6,0,0,0
2.0,3,2,1,4,71,1.0,5,0,2,0,7,0,0,0
3.0,5,4,3,5,71,1.0,5,0,2,0,7,0,0,0
3.0,3,3,2,3,45,1.0,5,0,1,3,9,0,0,0
1.0,1,1,1,3,236,1.0,12,1,2,6,16,0,0,1
1.67,2,2,2,3,236,1.0,12,0,2,6,16,0,0,0
2.0,2,3,2,4,236,1.0,12,0,2,6,16,0,0,0
2.0,4,4,4,8,236,1.0,12,0,2,6,16,0,0,0
2.0,1,1,0,2,236,1.0,12,0,2,6,16,0,0,0
2.33,2,2,2,4,236,1.0,12,0,2,6,16,0,0,0
2.0,2,2,2,3,236,1.0,12,0,2,6,16,0,0,0
2.0,2,2,3,4,236,1.0,12,0,2,6,16,0,0,0
2.67,2,2,2,2,236,1.0,12,0,2,6,16,0,0,0
1.67,0,2,1,6,236,1.0,12,0,2,6,16,0,0,0
2.33,2,2,2,3,99,1.0,5,0,2,3,14,0,0,0
3.0,0,0,1,2,99,1.0,5,0,2,3,14,0,0,0
2.67,0,1,2,4,99,1.0,5,0,2,3,14,0,0,0
2.33,1,1,1,1,99,1.0,5,0,2,3,14,0,0,0
2.0,3,5,4,5,99,1.0,5,0,2,3,14,0,0,0
3.0,1,3,2,3,137,1.0,6,0,1,3,10,0,0,0
3.0,3,3,1,3,78,1.0,5,1,2,12,13,0,0,0
2.0,2,2,0,3,78,1.0,5,0,2,12,13,0,0,0
2.0,2,4,2,4,78,1.0,5,0,2,12,13,0,0,0
1.0,0,0,0,3,78,1.0,5,0,2,12,13,0,0,0
1.0,0,2,2,2,78,1.0,5,0,2,12,13,0,0,0
2.67,2,2,2,2,47,1.0,4,1,1,0,8,0,0,0
3.0,4,3,3,4,47,1.0,4,1,1,0,8,0,0,0
2.0,0,0,0,2,47,1.0,4,0,1,0,8,0,0,0
1.33,2,2,1,3,139,1.0,10,0,0,1,7,0,0,0
2.67,2,2,1,3,139,1.0,10,0,0,1,7,0,0,0
3.0,3,3,1,4,64,1.0,5,0,3,5,9,0,0,0
3.0,0,0,0,2,55,1.0,7,0,0,4,12,0,0,0
2.67,4,2,1,5,48,1.0,5,0,0,1,11,0,0,0
3.0,3,2,1,3,48,1.0,5,0,0,1,11,0,0,0
3.0,1,1,0,2,48,1.0,5,0,0,1,11,0,0,0
2.33,1,0,0,3,48,1.0,5,0,0,1,11,0,0,0
2.33,0,0,0,1,181,1.0,10,0,0,5,16,0,0,0
2.33,1,1,1,2,181,1.0,10,0,0,5,16,0,0,0
2.0,2,2,0,3,54,1.0,5,0,1,4,8,0,0,0
2.67,2,2,2,2,87,1.0,9,0,1,4,7,0,0,0
3.0,1,1,1,2,87,1.0,9,0,1,4,7,0,0,0
1.0,0,0,0,1,52,1.0,6,0,1,4,7,0,0,0
2.67,2,2,1,2,52,1.0,6,0,1,4,7,0,0,0
3.0,2,2,1,2,42,1.0,5,0,1,3,5,0,0,0
3.0,2,2,1,3,42,1.0,5,0,1,3,5,0,0,0
1.0,1,1,0,2,52,1.0,4,0,0,1,9,0,0,0
2.67,3,3,0,3,52,1.0,4,0,0,1,9,0,0,0
1.67,2,3,0,3,52,1.0,4,0,0,1,9,0,0,0
2.33,1,2,0,3,52,1.0,4,0,0,1,9,0,0,0
1.33,0,1,0,1,124,1.0,4,0,0,2,9,0,0,0
2.67,1,1,1,2,89,1.0,9,0,1,1,5,0,0,0
3.0,2,3,3,3,99,1.0,13,0,0,7,9,0,0,0
1.67,0,0,0,2,188,1.0,17,0,2,3,5,0,0,0
3.0,2,2,1,2,107,1.0,9,0,0,2,9,0,0,0
3.0,3,3,2,3,50,1.0,5,0,1,2,9,0,0,0
2.33,0,0,0,1,60,1.0,5,0,1,2,6,0,0,0
2.67,3,3,2,3,88,1.0,4,0,1,0,10,0,0,0
3.0,3,3,1,3,88,1.0,4,0,1,0,10,0,0,0
3.0,2,2,1,4,34,1.0,5,0,0,4,6,0,0,0
2.33,2,2,1,3,34,1.0,5,0,0,4,6,0,0,0
2.0,1,1,0,2,50,1.0,7,0,0,0,4,0,0,0
3.0,1,2,1,2,50,1.0,7,0,0,0,4,0,0,0
2.0,3,2,0,3,50,1.0,7,0,0,0,4,0,0,0
3.0,1,1,0,1,58,1.0,7,0,3,3,9,0,0,0
2.0,0,0,0,1,102,1.0,5,0,1,2,8,0,0,0
2.67,1,1,0,1,102,1.0,5,0,1,2,8,0,0,0
1.67,2,2,2,3,102,1.0,5,0,1,2,8,0,0,0
2.33,0,1,0,1,102,1.0,5,0,1,2,8,0,0,0
2.33,1,3,3,7,102,1.0,5,0,1,2,8,0,0,0
2.67,1,1,1,2,73,1.0,5,0,1,1,5,0,0,0
2.67,0,0,0,2,33,1.0,4,0,1,2,6,0,0,0
2.33,1,1,1,3,119,1.0,9,0,1,10,19,0,0,0
2.33,1,1,1,2,119,1.0,9,0,1,10,19,0,0,0
1.67,0,0,0,2,119,1.0,9,0,1,10,19,0,0,0
2.67,3,3,3,4,119,1.0,9,0,1,10,19,0,0,0
1.33,0,1,1,3,119,1.0,9,0,1,10,19,0,0,0
3.0,1,2,1,2,119,1.0,9,0,1,10,19,0,0,0
1.33,0,0,0,3,119,1.0,9,0,1,10,19,0,0,0
3.0,2,2,0,2,63,1.0,9,0,1,5,11,0,0,0
3.0,5,5,5,5,124,1.0,11,2,2,3,12,0,0,0
3.0,2,1,1,2,124,1.0,11,0,2,3,12,0,0,0
3.0,2,1,1,2,124,1.0,11,0,2,3,12,0,0,0
2.33,2,2,2,4,124,1.0,11,1,2,3,12,1,1,0
3.0,3,5,5,6,124,1.0,11,0,2,3,12,0,0,0
2.0,2,2,2,3,124,1.0,11,0,2,3,12,0,0,0
1.67,1,1,0,3,56,1.0,5,0,0,2,5,0,0,0
3.0,1,1,0,2,56,1.0,5,0,0,2,5,0,0,0
2.0,2,2,1,3,56,1.0,5,0,0,2,5,0,0,0
2.67,2,3,2,3,56,1.0,5,0,0,2,5,0,0,0
1.67,1,1,0,2,56,1.0,5,0,0,2,5,0,0,0
3.0,3,3,2,3,56,1.0,5,1,0,2,5,0,0,0
3.0,1,1,0,2,59,1.0,4,0,2,1,7,0,0,0
2.0,3,4,4,4,133,1.0,11,0,2,3,13,0,0,0
3.0,1,1,1,2,133,1.0,11,0,2,3,13,0,0,0
1.33,0,0,0,1,185,1.0,10,0,2,4,14,0,0,0
2.67,2,2,1,3,185,1.0,10,0,2,4,14,0,0,0
1.67,2,2,2,4,185,1.0,10,1,2,4,14,0,0,0
2.33,1,1,0,1,185,1.0,10,0,2,4,14,0,0,0
2.0,1,2,2,4,185,1.0,10,0,2,4,14,0,0,0
2.33,2,2,1,3,185,1.0,10,0,2,4,14,0,0,0
2.0,0,0,0,1,78,1.0,6,0,1,4,13,0,0,0
3.0,1,1,0,1,29,1.0,4,0,1,2,9,0,0,0
2.33,2,2,1,2,223,1.0,14,0,3,8,15,0,0,0
2.67,2,2,1,3,223,1.0,14,0,3,8,15,0,0,0
3.0,1,1,0,2,223,1.0,14,0,3,8,15,0,0,0
3.0,2,2,1,2,223,1.0,14,0,3,8,15,0,0,0
1.67,0,1,1,2,68,1.0,7,0,1,0,7,0,0,0
1.33,0,1,0,1,68,1.0,7,0,1,0,7,0,0,0
2.67,1,3,2,5,52,1.0,5,0,0,1,10,0,0,0
3.0,1,1,1,2,52,1.0,5,0,0,1,10,0,0,0
2.33,0,0,0,1,52,1.0,5,0,0,1,10,0,0,0
3.0,0,2,0,3,52,1.0,5,0,0,1,10,0,0,0
2.33,1,1,0,2,47,1.0,4,0,0,0,7,0,0,0
1.75,0,0,0,3,47,1.0,4,0,0,0,7,0,0,0
3.0,2,2,0,2,114,1.0,9,0,0,2,9,0,0,0
2.33,0,2,2,2,68,1.0,7,0,3,7,7,0,0,0
2.33,1,2,1,3,61,1.0,7,0,0,3,6,0,0,0
2.33,2,1,1,3,61,1.0,7,0,0,3,6,0,0,0
2.67,2,1,1,2,61,1.0,7,0,0,3,6,0,0,0
3.0,2,2,2,2,127,1.0,11,0,0,4,10,0,0,0
2.33,2,3,2,3,127,1.0,11,0,0,4,10,0,0,0
3.0,3,3,3,3,132,1.0,6,0,5,3,11,0,0,0
2.33,2,2,1,3,110,1.0,8,0,2,9,21,0,0,0
3.0,2,2,0,2,110,1.0,8,0,2,9,21,0,0,0
2.0,2,2,0,4,110,1.0,8,0,2,9,21,0,0,0
3.0,0,0,0,1,110,1.0,8,0,2,9,21,0,0,0
2.33,0,0,0,1,54,1.0,6,0,0,1,8,0,0,0
3.0,1,0,0,1,60,1.0,6,0,2,0,7,0,0,0
2.67,1,1,0,2,48,1.0,6,0,2,3,6,0,0,0
3.0,2,2,0,3,48,1.0,6,0,2,3,6,0,0,0
3.0,3,3,0,3,48,1.0,6,0,2,3,6,0,0,0
2.67,1,1,0,2,50,1.0,5,0,6,5,14,0,0,0
2.67,1,2,2,2,110,1.0,7,0,1,5,8,0,0,0
2.67,2,2,2,3,110,1.0,7,0,1,5,8,0,0,0
2.0,0,2,2,3,110,1.0,7,0,1,5,8,0,0,0
1.67,1,1,1,1,70,1.0,7,0,1,1,7,0,0,0
2.67,0,0,0,1,114,1.0,5,0,3,3,12,0,0,0
3.0,1,1,1,2,114,1.0,5,0,3,3,12,0,0,0
2.67,1,1,0,1,60,1.0,5,0,0,1,7,0,0,0
1.0,0,1,1,2,175,1.0,15,0,1,4,12,0,0,0
